Stadt;Fläche km2;Einwohner;PLZ;Längengrad;Breitengrad;Bundesland
Ahrenviölfeld;7.29;221;25885;9,274084;54,534607;Schleswig-Holstein
Behrendorf;15.29;541;25850;9,22759;54,562059;Schleswig-Holstein
Bondelum;9.18;167;25850;9,26682;54,556555;Schleswig-Holstein
Haselund;12.79;891;25855;9,182961;54,591683;Schleswig-Holstein
Immenstedt;14.61;629;25885;9,162503;54,541449;Schleswig-Holstein
Löwenstedt;19.62;714;25864;9,174887;54,621612;Schleswig-Holstein
Norstedt;13.5;390;25884;9,129313;54,588429;Schleswig-Holstein
Oster-Ohrstedt;11.29;652;25885;9,227445;54,514539;Schleswig-Holstein
Schwesing;15.63;947;25813;9,134622;54,493899;Schleswig-Holstein
Sollwitt;10.95;289;25884;9,228482;54,594606;Schleswig-Holstein
Viöl;18.96;2243;25884;9,180557;54,568875;Schleswig-Holstein
Wester-Ohrstedt;18.54;1052;25885;9,190063;54,507226;Schleswig-Holstein
Gröde;2.52;12;25869;8,717443;54,631686;Schleswig-Holstein
Hallig Hooge;5.78;95;25859;8,550938;54,566389;Schleswig-Holstein
Langeneß;11.57;132;25863;8,594129;54,637917;Schleswig-Holstein
Pellworm;37.45;1228;25849;8,686238;54,518632;Schleswig-Holstein
Alkersum;9.07;391;25938;8,511244;54,708245;Schleswig-Holstein
Borgsum;5.51;328;25938;8,460009;54,699989;Schleswig-Holstein
Dunsum;2.72;71;25938;8,414572;54,730715;Schleswig-Holstein
Midlum;8.5;433;25938;8,518625;54,714878;Schleswig-Holstein
Nebel;11.95;976;25946;8,353658;54,650612;Schleswig-Holstein
Nieblum;7.86;588;25938;8,489439;54,691947;Schleswig-Holstein
Norddorf auf Amrum;5.89;584;25946;8,332935;54,679638;Schleswig-Holstein
Oevenum;10.87;460;25938;8,530541;54,710109;Schleswig-Holstein
Oldsum;13.31;519;25938;8,447735;54,732075;Schleswig-Holstein
Süderende;2.59;174;25938;8,439339;54,725601;Schleswig-Holstein
Utersum;5.26;406;25938;8,407243;54,714455;Schleswig-Holstein
Witsum;1.59;47;25938;8,44106;54,698516;Schleswig-Holstein
Wittdün auf Amrum;2.61;829;25946;8,392971;54,626534;Schleswig-Holstein
